abbhakṣa+Sing+Nom	abbhakṣa
akṣara+Sing+Gen	akṣaraaḥ

akṣara+Sing+Ins	akṣaraā

akṣara+Sing+Loc	akṣarai

akṣara+Sing+Nom	akṣara

akṣata+Plur+Ins	akṣatabhiḥ

akṣi+Dual+Abl	akṣibhyām

akṣi+Dual+Acc	akṣiau

akṣi+Dual+Gen	akṣioḥ

akṣi+Dual+Ins	akṣibhyām

akṣi+Dual+Loc	akṣioḥ

akṣi+Dual+Nom	akṣiau

akṣi+Plur+Abl	akṣibhyaḥ

akṣi+Plur+Acc	akṣiaḥ

akṣi+Sing+Acc	akṣiam

akṣi+Sing+Gen	akṣiaḥ

akṣi+Sing+Loc	akṣii

akṣi+Sing+Nom	akṣi

akṣiti+Sing+Acc	akṣitiam

akṣiti+Sing+Dat	akṣitie

akṣiti+Sing+Nom	akṣiti

akṣī+Dual+Gen	akṣīoḥ

alakṣmī+Plur+Nom	alakṣmīaḥ

alakṣmī+Sing+Acc	alakṣmīam

alakṣmī+Sing+Nom	alakṣmī

alasālā+Sing+Nom	alasālā

alaṃkāra+Plur+Acc	alaṃkāraaḥ

alaṃkāra+Plur+Nom	alaṃkāraaḥ

alaṃkāra+Sing+Ins	alaṃkāraā

alaṃkāra+Sing+Loc	alaṃkārai

alaṃkāra+Sing+Nom	alaṃkāra

aloju+Sing+Ins	alojuā

alokyatā+Sing+Gen	alokyatāaḥ

alpaśayu+Plur+Acc	alpaśayuaḥ

alābha+Sing+Loc	alābhai

alābu+Sing+Ins	alābuā

alābuvīṇā+Sing+Acc	alābuvīṇāam

alāṇḍu+Plur+Acc	alāṇḍuaḥ

ama+Plur+Ins	amabhiḥ

ama+Plur+Nom	amaaḥ

ama+Sing+Acc	amaam

ama+Sing+Nom	ama

amanuṣya+Sing+Nom	amanuṣya

amara+Plur+Ins	amarabhiḥ

amati+Sing+Acc	amatiam

amati+Sing+Nom	amati

amatra+Sing+Acc	amatraam

